# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
85; true; 4.0879329399964276e-01
176; true; 3.9830064002733406e-01
275; true; 3.9313437954554198e-01
59; true; 2.4769903947436214e-01
325; true; 1.7110353476012446e-01
389; true; 1.4519292548355789e-01
446; true; 1.1647465712572151e-01
297; true; 1.1346007221431874e-01


# FractureId; NumTraces
38; 26
# TraceId; Tips; Length
422; false; 5.9193615012584910e-01
5; false; 4.8118971767339030e-01
298; false; 1.5471811972642133e-01
313; false; 1.2889594698634529e-01
177; false; 4.9589421373269785e-02
449; false; 1.0805176428862873e-01
198; true; 1.2188468145802751e+00
211; true; 1.0614251912418557e+00
258; true; 9.4157435013696122e-01
390; true; 7.6222154856684354e-01
450; true; 7.3253635884448509e-01
244; true; 6.5648761976084946e-01
357; true; 6.4675749893412793e-01
326; true; 6.1695784848523849e-01
453; true; 5.4822101374381460e-01
409; true; 5.3708322507412720e-01
129; true; 5.0797228821189988e-01
452; true; 4.4050585664672881e-01
451; true; 3.8791397686956164e-01
60; true; 3.5306434734383674e-01
442; true; 3.2007771748560876e-01
367; true; 2.0842563303540973e-01
227; true; 1.2636491986430687e-01
446; true; 1.1647465712572151e-01
140; true; 1.0749675506845317e-01
398; true; 8.8697810397097857e-02


# FractureId; NumTraces
39; 7
# TraceId; Tips; Length
6; false; 6.0955246724863787e-01
314; false; 5.9249086595994715e-01
